id_prod,productora
1118,Mindy Affrime
1119,Bruin Grip Services
1120,Eureka Pictures
1121,Greenestreet Films
1122,Skreba Films
1123,Guber/Peters Company
1124,American Werewolf Inc.
1125,Lyncanthrope Films
1126,Steve White Productions
1127,VPS Studios
1128,De Laurentiis Entertainment Group (DEG)
1129,Promark Entertainment Group
1130,Spectacor Films
1131,A. Ninety-Three Productions
1132,Media Transactions
1133,American International Pictures (AIP)
1134,CFCF-TV
1135,Compagnia Cinematografica Champion
1136,Andy Warhol Productions
1137,Hometown Films
1138,YCTM
1139,Sterobcar Productions
1140,Tonylyn Productions
1141,Compass International Pictures
1142,Empress Film Production Corporation
1143,Vista Street Entertainment
1144,Osiris Films
1145,Dan Curtis Productions
1146,Tribeca Productions
1147,Melville-Talbot Productions
1148,RKO Pictures
1149,Smart Egg Pictures
1150,Jofa Atelier
1151,Prana-Film GmbH
1152,Reteitalia
1153,Scena Film
1154,Marmont Productions
1155,Blood & Wine Productions
1156,Albino Alligator Productions
1157,Phoenix Pictures
1158,Trust Film
1159,Danish Film Institute
1160,Michael Obel Productions
1161,Digital Image Associates
1162,South Australian Feature Film Company
1163,Sandrews
1164,Epithète Films
1165,M6 Films
1166,Arena Films
1167,Agora Films
1168,Orsans
1169,Les Films de Mindif
1170,Robert Stigwood Organization (RSO)
